# V11 Paper Numbers Inventory
# Source: docs/beyond_recall_v10_1_draft.md (release-frozen 2026-04-24)
# Cross-checked against: docs/reviews/v10_numerical_verification_report.md
# Aggregation rule: 5-judge primary panel (Haiku, Sonnet, Opus, GPT-4o, GPT-5.4); within-judge mean across questions, then across-judge mean.
# Status legend: EXISTING (canonical scaffold reproduces); MISSING (no canonical scaffold OR scaffold output disagrees with paper); EXTERNAL (cited prior work); EXCLUDE (out-of-scope for Phase 2)
# Priority: HIGH (load-bearing §4 headline); MEDIUM (supporting); LOW (style/methodology); N/A (external)
# Note: lines marked "scaffold:promote-needed" are existing scripts not yet in the canonical list; phase-2 should formally adopt them.
section,line_in_paper,claim_id,quoted_text,number,current_source,scaffold_status,priority_for_phase_2,notes
§4.1.1,759,4_1_1_franklin_c4a_drop,"facts plus specification (C4a) drops 0.13",-0.13,doc:legacy_20260411,doc:NEEDS-script,MEDIUM,Franklin Δ_C4a
#
# === §4.2 Compression === Numbers: 30; EXISTING: 22; MISSING: 8
#
§4.2,771,4_2_low_baseline_means,"mean C5=1.52, C2a=2.23, C4=2.35, C8=2.45, C4a=2.45, C9=2.50",6 means,script:scripts/recompute_5judge_primary.py,EXISTING (INC-2/7/8),MEDIUM,Mean row arithmetic flagged
§4.2,773,4_2_corpus_advantage,"corpus (C8) averages 0.22 points higher than spec alone",0.22,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Compression gap
§4.2,775,4_2_spec_lift_v1,"+0.68 points of lift above baseline",+0.68,script:scripts/recompute_5judge_primary.py,EXISTING (INC-3),HIGH,Two C5 means used
§4.2,775,4_2_corpus_marginal,"next ~80K to 400K tokens of raw corpus buy +0.22",+0.22,script:scripts/recompute_5judge_primary.py,EXISTING,MEDIUM,Marginal lift
§4.2,785,4_2_hamerton_compress_row,"Hamerton ~33K / 5x / 1.26 / 2.63 / 2.43 / 2.27 / 2.77 / 3.09 / -0.36",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Hamerton row
§4.2,786,4_2_sunity_compress_row,"Sunity Devee ~88K / 13x / 1.03 / 2.27 / 2.46 / 2.55 / 2.41 / 2.46 / +0.28",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Sunity row
§4.2,787,4_2_ebers_compress_row,"Ebers ~125K / 18x / 1.02 / 1.54 / 2.02 / 2.18 / 2.07 / 2.16 / +0.64",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Ebers row
§4.2,788,4_2_fukuzawa_compress_row,"Fukuzawa ~181K / 26x / 1.67 / 2.35 / 2.67 / 2.74 / 2.78 / 2.78 / +0.39",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Fukuzawa row
§4.2,789,4_2_bernal_compress_row,"Bernal Diaz ~244K / 35x / 1.70 / 2.27 / 2.41 / 2.55 / 2.48 / 2.53 / +0.28",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Bernal row
§4.2,790,4_2_babur_compress_row,"Babur ~549K / 78x / 1.76 / 1.91 / 2.03 / 2.05 / 2.01 / - / +0.14",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Babur row
§4.2,791,4_2_seacole_compress_row,"Seacole ~81K / 12x / 1.77 / 2.48 / 2.63 / 2.83 / 2.59 / 2.73 / +0.35",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Seacole row
§4.2,792,4_2_keckley_compress_row,"Keckley ~76K / 11x / 1.84 / 2.43 / 2.39 / 2.50 / 2.44 / 2.49 / +0.07",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Keckley row
§4.2,793,4_2_yungwing_compress_row,"Yung Wing ~86K / 12x / 1.88 / 2.22 / 2.13 / 2.42 / 2.40 / 2.50 / +0.20",compression row,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Yung Wing row
§4.2,794,4_2_compress_mean_row,"Mean | ~23x | 1.52 | 2.23 | 2.35 | 2.45 | 2.45 | 2.50 | +0.22",mean row,script:scripts/recompute_5judge_primary.py,MISSING (INC-2/7/8 fix),HIGH,Mixed 8-subj/9-subj aggregation; needs scaffold repair
§4.2,801,4_2_spec_lift_v2,"spec lift +0.71",+0.71,script:scripts/recompute_5judge_primary.py,EXISTING (INC-3),HIGH,Conflicts with +0.68
§4.2,801,4_2_corpus_lift,"corpus lift +0.93",+0.93,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,C8-C5 lift
§4.2,867,4_2_ebers_spec_lift,"Ebers spec lift +0.52",+0.52,script:scripts/recompute_5judge_primary.py,EXISTING,MEDIUM,Per-subject lift
§4.2,867,4_2_ebers_corpus_lift,"Ebers corpus lift +1.16",+1.16,script:scripts/recompute_5judge_primary.py,EXISTING,MEDIUM,Per-subject lift
§4.2,867,4_2_ebers_gap,"Ebers spec-corpus gap 0.64",0.64,script:scripts/recompute_5judge_primary.py,EXISTING,MEDIUM,Per-subject gap
§4.2,867,4_2_ebers_efficiency,"6% / 18× efficiency",6%/18×,doc:token estimates,doc:NEEDS-script,LOW,Token ratios
§4.2.1,815,4_2_1_c2a_imp_low,"C2a 70.9% improvement",70.9%,script:scripts/_compute_per_question_v2.py,EXISTING,HIGH,Win rate
§4.2.1,816,4_2_1_c4_imp_low,"C4 72.9%",72.9%,script:scripts/_compute_per_question_v2.py,EXISTING,HIGH,Win rate
§4.2.1,817,4_2_1_c8_imp_low,"C8 78.3%",78.3%,script:scripts/_compute_per_question_v2.py,EXISTING,HIGH,Win rate
§4.2.1,818,4_2_1_c4a_imp_low,"C4a 78.6%",78.6%,script:scripts/_compute_per_question_v2.py,EXISTING,HIGH,Win rate
§4.2.1,815-818,4_2_1_median_imp,"median Δ when improved +1.00",+1.00,script:scripts/_compute_per_question_v2.py,EXISTING,HIGH,Magnitude
§4.2.1,815-818,4_2_1_median_wor,"median Δ when worsened -0.40 / -0.60",-0.40/-0.60,script:scripts/_compute_per_question_v2.py,EXISTING,MEDIUM,Magnitude
§4.2.1,826,4_2_1_all14_c2a,"C2a 58.8% / 26.7%",58.8/26.7,script:scripts/_compute_per_question_v2.py,EXISTING,MEDIUM,All-14 win rates
§4.2.1,827,4_2_1_all14_c4,"C4 60.1% / 26.6%",60.1/26.6,script:scripts/_compute_per_question_v2.py,EXISTING,MEDIUM,All-14 win rates
§4.2.1,828,4_2_1_all14_c8,"C8 64.5% / 24.5%",64.5/24.5,script:scripts/_compute_per_question_v2.py,EXISTING,MEDIUM,All-14 win rates
§4.2.1,829,4_2_1_all14_c4a,"C4a 65.8% / 26.4%",65.8/26.4,script:scripts/_compute_per_question_v2.py,EXISTING,MEDIUM,All-14 win rates
§4.2.1,839,4_2_1_pair_c8c2a,"C8 vs C2a: 190 (54.1%) / 46 / 115 (32.8%)",pair counts,script:scripts/_v10_verification/pairwise_compare.py,EXISTING,MEDIUM,Pairwise
§4.2.1,840,4_2_1_pair_c9c4a,"C9 vs C4a: 155 (49.7%) / 42 / 115 (36.9%)",pair counts,script:scripts/_v10_verification/pairwise_compare.py,EXISTING,MEDIUM,Pairwise
§4.2.1,833,4_2_1_n_low,"351 questions",351,script:scripts/_compute_per_question_v2.py,EXISTING,LOW,Low-baseline N
§4.2.1,833,4_2_1_n_c9,"C9 n = 312 with Babur excluded",312,script:scripts/_compute_per_question_v2.py,EXISTING,LOW,C9 N
#
# === §4.3 Mechanism === Numbers: 25; EXISTING: 14; MISSING: 11
#
§4.3,891,4_3_correct_delta,"C2a (correct spec) +0.35",+0.35,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Correct
§4.3,892,4_3_v2_delta,"C2c v2 (random derangement) +0.22",+0.22,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Random
§4.3,893,4_3_v1_delta,"C2c v1 (fixed derangement) -0.25",-0.25,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Adversarial
§4.3,897,4_3_content_gap,"0.60 points on the 1-5 rubric",0.60,script:scripts/compute_wrong_spec_5judge.py,EXISTING,HIGH,Correct-vs-adversarial
§4.3,913,4_3_spec_tag_correct,"78.6% spec-tag citation on correct",78.6%,script:scripts/compute_spec_activation.py,EXISTING,HIGH,Spec activation
§4.3,913,4_3_spec_tag_wrong,"50.0% on wrong-spec",50.0%,script:scripts/compute_spec_activation.py,EXISTING,HIGH,Spec activation
§4.3,913,4_3_spec_tag_gap,"28.6-point gap",28.6,script:scripts/compute_spec_activation.py,EXISTING,MEDIUM,Activation gap
§4.3,919,4_3_n_wrongspec,"587 wrong-spec responses",587,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,MEDIUM,Detection N
§4.3,921,4_3_explicit_flag,"60.6% explicitly flagged",60.6%,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,HIGH,INC-5 framing flag
§4.3,922,4_3_low_quality,"36.5% attempted",36.5%,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,MEDIUM,Detection
§4.3,923,4_3_implicit,"2.0% implicitly hedged",2.0%,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,MEDIUM,Detection
§4.3,924,4_3_ambiguous,"0.9% ambiguous",0.9%,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,LOW,Detection
§4.3,932,4_3_hedging_narrow_recap,"narrow rule 28.8 → 1.4 → 0.0",3 percents,script:scripts/classify_hedging.py,EXISTING,HIGH,Recap
§4.3,932,4_3_hedging_broad_recap,"broader rule 41.2 → 7.9 → 0.4",3 percents,script:scripts/classify_hedging.py,EXISTING,HIGH,Recap
§4.3,1001,4_3_ex_a_drop,"Ebers Q7 Δ -2.00",-2.00,doc:per-question files,doc:NEEDS-script,MEDIUM,Example A
§4.3,1002,4_3_ex_b_drop,"Bernal Diaz Q16 Δ -0.20",-0.20,doc:per-question files,doc:NEEDS-script,MEDIUM,Example B
§4.3,1003,4_3_ex_c_drop,"Seacole Q2 Δ -3.60",-3.60,doc:per-question files,doc:NEEDS-script,MEDIUM,Example C
§4.3,627,4_3_ebers_q7_c5,"Ebers Q7 C5 1.20",1.20,doc:per-question files,doc:NEEDS-script,LOW,Per-question example
§4.3,630,4_3_ebers_q7_c4a,"Ebers Q7 C4a 3.60",3.60,doc:per-question files,doc:NEEDS-script,LOW,Per-question
§4.3,642,4_3_bernal_c4,"Bernal Diaz Q16 C4 2.00",2.00,doc:per-question files,doc:NEEDS-script,LOW,Per-question
§4.3,646,4_3_bernal_c4a,"Bernal Diaz Q16 C4a 4.80",4.80,doc:per-question files,doc:NEEDS-script,LOW,Per-question
§4.3,658,4_3_seacole_c4,"Seacole Q2 C4 2.80",2.80,doc:per-question files,doc:NEEDS-script,LOW,Per-question
§4.3,664,4_3_seacole_c4a,"Seacole Q2 C4a 5.00",5.00,doc:per-question files,doc:NEEDS-script,LOW,Per-question
§4.3,949,4_3_ex_a_wrong,"Wrong-spec Ebers Q7 1.60",1.60,doc:per-question files,doc:NEEDS-script,LOW,Wrong-spec example
§4.3,966,4_3_ex_b_wrong,"Wrong-spec Bernal Q16 4.60",4.60,doc:per-question files,doc:NEEDS-script,LOW,Wrong-spec example
§4.3,989,4_3_ex_c_wrong,"Wrong-spec Seacole Q2 1.40",1.40,doc:per-question files,doc:NEEDS-script,LOW,Wrong-spec example
#
# === §4.4 Memory-System Composition === Numbers: 60; EXISTING: 5; MISSING: 55 (memory_systems_5judge_primary.md exists, no canonical script)
#
§4.4.1,1038,4_4_1_mem0_ctrl_14,"Mem0 +0.12 / 10/14",+0.12,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory aggregate
§4.4.1,1039,4_4_1_letta_ctrl_14,"Letta +0.20 / 12/14",+0.20,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory aggregate
§4.4.1,1040,4_4_1_zep_ctrl_14,"Zep +0.19 / 13/14",+0.19,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory aggregate
§4.4.1,1041,4_4_1_sm_ctrl_14,"Supermemory -0.05 / 5/14",-0.05,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory aggregate
§4.4.1,1042,4_4_1_bl_ctrl_14,"Base Layer +0.08 / 9/14",+0.08,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory aggregate
§4.4.1,1038,4_4_1_mem0_ctrl_low,"Mem0 +0.10 / 6/9",+0.10,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Low-baseline
§4.4.1,1039,4_4_1_letta_ctrl_low,"Letta +0.17 / 8/9",+0.17,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Low-baseline
§4.4.1,1040,4_4_1_zep_ctrl_low,"Zep +0.17 / 9/9",+0.17,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Low-baseline
§4.4.1,1041,4_4_1_sm_ctrl_low,"Supermemory -0.01 / 5/9",-0.01,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Low-baseline
§4.4.1,1042,4_4_1_bl_ctrl_low,"Base Layer +0.08 / 6/9",+0.08,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Low-baseline
§4.4.1,1044,4_4_1_zep_ctrl_p,"Zep controlled p = 0.0004",0.0004,doc:docs/research/stats_update.md,doc:NEEDS-script,HIGH,Stat
§4.4.1,1044,4_4_1_letta_ctrl_p,"Letta controlled p = 0.0017",0.0017,doc:docs/research/stats_update.md,doc:NEEDS-script,HIGH,Stat
§4.4.1,1050,4_4_1_mem0_native_14,"Mem0 native +0.33 / 10/14",+0.33,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Native
§4.4.1,1051,4_4_1_letta_native_14,"Letta native -0.02 / 5/14",-0.02,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Native
§4.4.1,1052,4_4_1_zep_native_14,"Zep native +0.33 / 13/14",+0.33,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Native
§4.4.1,1053,4_4_1_sm_native_14,"Supermemory native -0.01 / 6/14",-0.01,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Native
§4.4.1,1050,4_4_1_mem0_native_low,"Mem0 native low +0.32 / 7/9",+0.32,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Native low
§4.4.1,1051,4_4_1_letta_native_low,"Letta native low -0.04 / 4/9",-0.04,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Native low
§4.4.1,1052,4_4_1_zep_native_low,"Zep native low +0.30 / 9/9",+0.30,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Native low
§4.4.1,1053,4_4_1_sm_native_low,"Supermemory native low -0.03 / 4/9",-0.03,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Native low
§4.4.1,1058,4_4_1_zep_native_p,"Zep native p = 0.0015",0.0015,doc:docs/research/stats_update.md,doc:NEEDS-script,HIGH,Stat
§4.4.1,1058,4_4_1_mem0_native_p,"Mem0 native p = 0.0088",0.0088,doc:docs/research/stats_update.md,doc:NEEDS-script,HIGH,Stat
§4.4.1,1058,4_4_1_sm_native_p,"Supermemory native W = 48.0, p = 0.8077",W=48.0/p=0.8077,doc:docs/research/supermemory_7judge_aggregate.md,doc:NEEDS-script,HIGH,SM Wilcoxon
§4.4,1088,4_4_sm_n_paired,"516 paired questions",516,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,MEDIUM,SM N
§4.4,1088,4_4_sm_swing_count,"89 of 516 (17.2%) |Δ|≥1.0",89/17.2%,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,MEDIUM,SM swings
§4.4,1090,4_4_sm_helps_n,"37 (7.2%) helps",37/7.2%,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,MEDIUM,SM helps
§4.4,1090,4_4_sm_helps_mean,"+1.45 mean swing",+1.45,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,MEDIUM,SM helps mean
§4.4,1091,4_4_sm_hurts_n,"52 (10.1%) hurts",52/10.1%,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,MEDIUM,SM hurts
§4.4,1091,4_4_sm_hurts_mean,"-1.41 mean swing",-1.41,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,MEDIUM,SM hurts mean
§4.4,1096,4_4_sm_ex1_fukuzawa_q26,"Fukuzawa Q26 +2.20 (2.00→4.20)",+2.20,doc:per-question SM analysis,doc:NEEDS-script,LOW,SM Example 1
§4.4,1112,4_4_sm_ex2_yungwing_q5,"Yung Wing Q5 -2.40 (4.20→1.80)",-2.40,doc:per-question SM analysis,doc:NEEDS-script,LOW,SM Example 2
§4.4,1126,4_4_sm_ex3_zitkala_q18,"Zitkala-Sa Q18 -2.00 (3.00→1.00)",-2.00,doc:per-question SM analysis,doc:NEEDS-script,LOW,SM Example 3
§4.4,1140,4_4_sm_ex4_fukuzawa_q16,"Fukuzawa Q16 +1.60 (2.40→4.00)",+1.60,doc:per-question SM analysis,doc:NEEDS-script,LOW,SM Example 4
§4.4,1196,4_4_2_mem0_yungwing_row,"Mem0 Yung Wing +0.35 (2.16→2.51)",row,doc:docs/research/mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,MEDIUM,Per-subject paired
§4.4,1197,4_4_2_mem0_keckley_row,"Mem0 Keckley -0.01 (2.64→2.63)",row,doc:docs/research/mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,MEDIUM,Per-subject paired
§4.4,1198,4_4_2_letta_hamerton_row,"Letta Hamerton +0.46 (2.35→2.81)",row,doc:docs/research/mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,MEDIUM,Per-subject paired
§4.4,1199,4_4_2_letta_keckley_row,"Letta Keckley 0.00 (2.70→2.70)",row,doc:docs/research/mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,MEDIUM,Per-subject paired
§4.4,1200,4_4_2_zep_seacole_row,"Zep Seacole +0.52 (2.27→2.79)",row,doc:docs/research/mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,MEDIUM,Per-subject paired
§4.4,1201,4_4_2_zep_keckley_row,"Zep Keckley +0.10 (2.49→2.59)",row,doc:docs/research/mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,MEDIUM,Per-subject paired
§4.4,1202,4_4_2_bl_yungwing_row,"BL Yung Wing +0.33 (2.23→2.56)",row,doc:docs/research/baselayer_c1_vs_c3_paired_analysis.md,doc:NEEDS-script,MEDIUM,Per-subject paired
§4.4,1203,4_4_2_bl_keckley_row,"BL Keckley -0.01 (2.44→2.44)",row,doc:docs/research/baselayer_c1_vs_c3_paired_analysis.md,doc:NEEDS-script,MEDIUM,Per-subject paired
§4.4,1221,4_4_2_mem0_ebers_q11,"Mem0 Ebers Q11 +1.67 (1.83→3.50)",row,doc:per-question paired,doc:NEEDS-script,LOW,Mem0 example
§4.4,1222,4_4_2_bl_yungwing_q31,"BL Yung Wing Q31 -1.33",row,doc:per-question paired,doc:NEEDS-script,LOW,BL example
§4.4,1223,4_4_2_bl_ebers_q1,"BL Ebers Q1 -1.00",row,doc:per-question paired,doc:NEEDS-script,LOW,BL example
§4.4,1228,4_4_2_letta_dedup,"Letta 0.34-0.47 dedup ratio, 3-5 unique facts",2 ratios,doc:mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,LOW,Dedup metric
§4.4.3,1243,4_4_3_keckley_q21_sm,"Supermemory 3.83→1.50 Δ -2.33",-2.33,doc:per-question docs,doc:NEEDS-script,HIGH,Q21 case
§4.4.3,1244,4_4_3_keckley_q21_bl,"Base Layer 3.33→1.00 Δ -2.33",-2.33,doc:per-question docs,doc:NEEDS-script,HIGH,Q21 case
§4.4.3,1245,4_4_3_keckley_q21_mem0,"Mem0 2.00→1.50 Δ -0.50",-0.50,doc:per-question docs,doc:NEEDS-script,HIGH,Q21 case
§4.4.3,1246,4_4_3_keckley_q21_zep,"Zep 1.83→1.33 Δ -0.50",-0.50,doc:per-question docs,doc:NEEDS-script,HIGH,Q21 case
§4.4.3,1247,4_4_3_keckley_q21_letta,"Letta 1.33→2.33 Δ +1.00",+1.00,doc:per-question docs,doc:NEEDS-script,HIGH,Q21 case
§4.4,1056,4_4_sm_paid_chunks,"all 199 chunks (0 failures)",199,doc:p0_2_supermemory_paid_tier_rerun.md,doc:NEEDS-script,LOW,SM ingest
§4.4,1056,4_4_sm_paid_facts_per_q,"4.3-5.0 facts per question",4.3-5.0,doc:p0_2_supermemory_paid_tier_rerun.md,doc:NEEDS-script,LOW,SM facts/q
§4.4,1064,4_4_zep_zero_regressions,"0 large-magnitude regressions on Seacole",0,doc:mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,LOW,Zep
§4.4,1230,4_4_2_sm_high_c1,"Supermemory C1 mean ~2.65",~2.65,doc:per-subject aggregate,doc:NEEDS-script,LOW,SM C1
§4.4,1186,4_4_2_keckley_q21_label,"Keckley Q21 cross-system refusal",label,doc:Keckley analysis,doc:NEEDS-script,LOW,Label
§4.4,1227,4_4_2_mem0_arch_label,"atomic-fact retrieval",label,doc:mem0_letta_zep_c1_vs_c3_analysis.md,doc:NEEDS-script,LOW,Architecture label
§4.4,1086,4_4_sm_n_516_total,"516 paired",516,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,LOW,SM N
§4.4.2,1196-1203,4_4_2_n_per_subject,"39 per row",39,doc:per-subject paired,doc:NEEDS-script,LOW,Per-row N
§4.4,1196-1203,4_4_2_q_counts_table,"per-row Wins/Losses/LargeImp/LargeReg counts (8 rows × 4 cols)",32 counts,doc:c1_vs_c3 analysis docs,doc:NEEDS-script,MEDIUM,Per-row paired counts
#
# === §4.5 Letta Stateful (Exploratory) === Numbers: 14; EXISTING: 0; MISSING: 14
#
§4.5,1269,4_5_hamerton_letta_bl,"Hamerton Letta 3.10 vs BL 2.96 Δ +0.14",3.10/2.96/+0.14,doc:docs/research/_letta_rerun/5judge_primary_results.json,doc:NEEDS-script,HIGH,Letta vs BL
§4.5,1269,4_5_ebers_letta_bl,"Ebers 2.76 vs 1.72 Δ +1.05",2.76/1.72/+1.05,doc:docs/research/_letta_rerun/5judge_primary_results.json,doc:NEEDS-script,HIGH,Letta vs BL
§4.5,1269,4_5_babur_letta_bl,"Babur 2.42 vs 1.88 Δ +0.54",2.42/1.88/+0.54,doc:docs/research/_letta_rerun/5judge_primary_results.json,doc:NEEDS-script,HIGH,Letta vs BL
§4.5,1269,4_5_fullstack_deltas,"Δ +0.27 / +1.21 / +0.38 full-stack rerun",3 deltas,doc:docs/research/_letta_rerun/fullstack_named/RESULTS.md,doc:NEEDS-script,HIGH,Full-stack
§4.5,1273,4_5_letta_block_hamerton,"22,472 chars Hamerton",22472,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,Block size
§4.5,1273,4_5_letta_block_ebers,"68,413 chars Ebers",68413,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,Block size
§4.5,1273,4_5_letta_block_babur,"335,349 chars Babur",335349,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,Block size
§4.5,1273,4_5_letta_dup_babur,"25.4% verbatim duplication on Babur",25.4%,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,Duplication
§4.5,1273,4_5_letta_ceiling,"~333,000 character ceiling",~333000,doc:letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,API ceiling
§4.5,1273,4_5_bl_compose_size,"BL compose 34,000-40,000 chars",34000-40000,doc:spec files,doc:NEEDS-script,LOW,BL size
§4.5,1273,4_5_babur_token_estimate,"335,349 chars ≈ 84,000 tokens",~84K,doc:char/4 ratio,doc:NEEDS-script,LOW,Token estimate
§4.5,2438,4_5_7j_hamerton,"Hamerton 7-judge +0.20",+0.20,doc:_letta_rerun Part 7,doc:NEEDS-script,LOW,7-judge
§4.5,2438,4_5_7j_ebers,"Ebers 7-judge +0.75",+0.75,doc:_letta_rerun Part 7,doc:NEEDS-script,LOW,7-judge
§4.5,2438,4_5_7j_babur,"Babur 7-judge +0.29",+0.29,doc:_letta_rerun Part 7,doc:NEEDS-script,LOW,7-judge
§4.5,2466,4_5_ref_density_babur,"540 vs 46 unique entities",540/46,doc:letta_stateful_deep_read.md,doc:NEEDS-script,LOW,Referential density
§4.5,2466,4_5_ref_density_ebers,"58 vs 19",58/19,doc:letta_stateful_deep_read.md,doc:NEEDS-script,LOW,Referential density
#
# === §4.6 Robustness === Numbers: 19; EXISTING: 9; MISSING: 10
#
§4.6.1,1294-1300,4_6_1_tier2_n_cells,"6 (subject × response model) cells",6,script:scripts/_v10_verification/tier2_mechanical_recompute.py,EXISTING,HIGH,Tier 2 setup
§4.6.1,1291,4_6_1_5_of_6,"5 of 6 cells reproduce direction",5/6,script:scripts/_v10_verification/tier2_mechanical_recompute.py,EXISTING,HIGH,Direction claim
§4.6.1,DATA_REFERENCE,4_6_1_tier2_ebers_sonnet,"Ebers Sonnet Δ +1.48",+1.48,doc:DATA_REFERENCE §10,MISSING (INC-1),HIGH,Cannot reproduce from scaffold
§4.6.1,DATA_REFERENCE,4_6_1_tier2_ebers_gpro,"Ebers Gemini Pro Δ +1.07",+1.07,doc:DATA_REFERENCE §10,MISSING (INC-1),HIGH,Cannot reproduce
§4.6.1,DATA_REFERENCE,4_6_1_tier2_yung_sonnet,"Yung Wing Sonnet Δ +1.91",+1.91,doc:DATA_REFERENCE §10,MISSING (INC-1),HIGH,Cannot reproduce
§4.6.1,DATA_REFERENCE,4_6_1_tier2_yung_gpro,"Yung Wing Gemini Pro Δ +1.27",+1.27,doc:DATA_REFERENCE §10,MISSING (INC-1),HIGH,Cannot reproduce
§4.6.1,DATA_REFERENCE,4_6_1_tier2_zitkala_sonnet,"Zitkala-Sa Sonnet Δ +1.40",+1.40,doc:DATA_REFERENCE §10,MISSING (INC-1),HIGH,Cannot reproduce
§4.6.1,DATA_REFERENCE,4_6_1_tier2_zitkala_gpro,"Zitkala-Sa Gemini Pro Δ -0.55",-0.55,doc:DATA_REFERENCE §10,MISSING (INC-1),HIGH,Cannot reproduce
§4.6.1,1294,4_6_1_ebers_c5,"Ebers C5 = 1.02",1.02,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Baseline reference
§4.6.1,1297,4_6_1_yung_c5,"Yung Wing C5 = 1.88",1.88,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Baseline reference
§4.6.1,1299,4_6_1_zitkala_c5,"Zitkala-Sa C5 = 2.34",2.34,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Baseline reference
§4.6.2,1322,4_6_2_c2a_5j,"C2a 5j +0.35",+0.35,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Sensitivity
§4.6.2,1322,4_6_2_c2a_7j,"C2a 7j +0.45",+0.45,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Sensitivity
§4.6.2,1322,4_6_2_c2a_widen,"widens by +0.10",+0.10,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Widening
§4.6.2,1323,4_6_2_c2c_v2_5j,"C2c v2 5j +0.22",+0.22,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Sensitivity
